order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,source_file
AMZ-ORD-0000085,2026-01-14,2026-01-16,First Class,CUST-00256,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400086,West,PROD-00341,Home,Kitchen,Echo Dot Speaker,534.52,-3,0.04,85.52,amazon_orders_batch_1.csv
AMZ-ORD-0000021,,2026-01-24,First Class,CUST-00064,Priya Sharma,Consumer,India,Hyderabad,Telangana,400022,South,PROD-00085,Fashion,Apparel,Smart Plug,149.39,2,0.04,23.9,amazon_orders_batch_1.csv
,,2026-01-15,Second Class,CUST-00253,Kabir Nair,Consumer,India,Kolkata,West Bengal,400085,East,PROD-00337,Electronics,Accessories,Office Chair,527.39,1,0.0,105.48,amazon_orders_batch_1.csv
AMZ-ORD-0000058,2026-01-23,2026-01-25,Same Day,CUST-00175,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400059,West,PROD-00233,Office,Stationery,Backpack,372.52,3,1.45,44.7,amazon_orders_batch_1.csv
AMZ-ORD-0000017,2026-01-18,2026-01-20,First Class,CUST-00052,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400018,North,PROD-00069,Beauty,Skincare,Bluetooth Earbuds,131.04,-3,0.04,20.97,amazon_orders_batch_1.csv
AMZ-ORD-0001069,2026-02-03,2026-02-06,Same Day,CUST-00077,Meera Joshi,Consumer,India,Hyderabad,Telangana,400071,South,PROD-00306,Home,Kitchen,Water Bottle,,5,0.16,12.39,amazon_orders_batch_2.csv
,2026-01-06,2026-01-09,Same Day,CUST-00265,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400043,South,PROD-00166,Beauty,Skincare,Wireless Mouse,112.65,2,0.04,18.02,amazon_orders_batch_2.csv
AMZ-ORD-0001114,2026-01-05,2026-01-08,Standard Class,CUST-00257,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400116,North,PROD-00111,Home,Kitchen,Smart Plug,624.78,5,1.45,24.99,amazon_orders_batch_2.csv
AMZ-ORD-0001111,,2026-01-05,Second Class,,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400113,South,PROD-00096,Beauty,Skincare,Wireless Mouse,600.39,2,0.04,96.06,amazon_orders_batch_2.csv
AMZ-ORD-0001023,2026-01-25,2026-01-28,Second Class,CUST-00193,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400025,West,PROD-00076,Electronics,Accessories,Monitor Stand,,4,0.12,70.93,amazon_orders_batch_2.csv
AMZ-ORD-0001019,2026-01-21,2026-01-24,Second Class,CUST-00177,Meera Joshi,Consumer,India,Hyderabad,Telangana,400021,South,PROD-00056,Home,Kitchen,Water Bottle,854.13,5,1.45,34.17,amazon_orders_batch_2.csv
AMZ-ORD-0002210,2026-01-07,2026-01-08,Second Class,CUST-00251,Aarav Singh,Consumer,India,Kolkata,West Bengal,400213,East,PROD-00241,Beauty,Skincare,Echo Dot Speaker,,3,0.0,120.68,amazon_orders_batch_3.csv
,2026-02-02,2026-02-03,Same Day,CUST-00001,Aarav Singh,Consumer,India,Kolkata,West Bengal,400163,East,PROD-00361,Beauty,Skincare,Echo Dot Speaker,207.91,1,0.16,8.32,amazon_orders_batch_3.csv
AMZ-ORD-0002168,2026-01-03,2026-01-04,Same Day,CUST-00041,Rahul Iyer,Consumer,India,Pune,Maharashtra,400171,West,PROD-00409,Home,Kitchen,Smart Plug,,-3,0.0,54.16,amazon_orders_batch_3.csv
AMZ-ORD-0002042,2026-01-29,2026-01-30,Second Class,CUST-00011,Rohan Patel,Consumer,India,Jaipur,Rajasthan,400045,North,PROD-00073,Electronics,Accessories,Office Chair,,3,0.0,32.56,amazon_orders_batch_3.csv
,2026-01-29,2026-01-30,Same Day,CUST-00201,Aarav Singh,Consumer,India,Kolkata,West Bengal,400083,East,PROD-00301,Beauty,Skincare,Echo Dot Speaker,469.04,5,0.08,56.28,amazon_orders_batch_3.csv
