order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
AMZ-ORD-0001001,2026-01-03,2026-01-06,Same Day,CUST-00105,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400003,South,PROD-00386,Beauty,Skincare,Wireless Mouse,728.13,2,0.04,116.5
AMZ-ORD-0001002,2026-01-04,2026-01-07,Standard Class,CUST-00109,Rohan Patel,Consumer,India,Kolkata,West Bengal,400004,East,PROD-00391,Office,Stationery,Backpack,736.26,3,0.08,88.35
AMZ-ORD-0001003,2026-01-05,2026-01-08,Second Class,CUST-00113,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400005,West,PROD-00396,Electronics,Accessories,Monitor Stand,744.39,4,0.12,59.55
AMZ-ORD-0001004,2026-01-06,2026-01-09,First Class,CUST-00117,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400006,North,PROD-00401,Home,Kitchen,Smart Plug,752.52,5,0.16,30.1
AMZ-ORD-0001005,2026-01-07,2026-01-10,Same Day,CUST-00121,Anaya Rao,Consumer,India,Lucknow,Uttar Pradesh,400007,North,PROD-00406,Fashion,Apparel,Desk Lamp,760.65,1,0,152.13
AMZ-ORD-0001006,2026-01-08,2026-01-11,Standard Class,CUST-00125,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400008,West,PROD-00411,Beauty,Skincare,Office Chair,768.78,2,0.04,123
AMZ-ORD-0001007,2026-01-09,2026-01-12,Second Class,CUST-00129,Isha Gupta,Consumer,India,Delhi,Delhi,400009,North,PROD-00416,Office,Stationery,Kindle Reader,776.91,3,0.08,93.23
AMZ-ORD-0001008,2026-01-10,2026-01-13,First Class,CUST-00133,Rahul Iyer,Consumer,India,Bengaluru,Karnataka,400010,South,PROD-00001,Electronics,Accessories,Bluetooth Earbuds,785.04,4,0.12,62.8
AMZ-ORD-0001009,2026-01-11,2026-01-14,Same Day,CUST-00137,Meera Joshi,Consumer,India,Hyderabad,Telangana,400011,South,PROD-00006,Home,Kitchen,Water Bottle,783,5,0.16,31.32
AMZ-ORD-0001010,2026-01-12,2026-01-15,Standard Class,CUST-00141,Aarav Singh,Consumer,India,Pune,Maharashtra,400012,West,PROD-00011,Fashion,Apparel,Echo Dot Speaker,791.13,1,0,158.23
AMZ-ORD-0001011,2026-01-13,2026-01-16,Second Class,CUST-00145,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400013,South,PROD-00016,Beauty,Skincare,Wireless Mouse,799.26,2,0.04,127.88
AMZ-ORD-0001011,2026-01-13,2026-01-16,Second Class,CUST-00145,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400013,South,PROD-00016,Beauty,Skincare,Wireless Mouse,799.26,2,0.04,127.88
AMZ-ORD-0001012,2026-01-14,2026-01-17,First Class,CUST-00149,Rohan Patel,Consumer,India,Kolkata,West Bengal,400014,East,PROD-00021,Office,Stationery,Backpack,807.39,3,0.08,96.89
AMZ-ORD-0001013,2026-01-15,2026-01-18,Same Day,CUST-00153,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400015,West,PROD-00026,Electronics,Accessories,Monitor Stand,815.52,4,0.12,65.24
AMZ-ORD-0001014,2026-01-16,2026-01-19,Standard Class,CUST-00157,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400016,North,PROD-00031,Home,Kitchen,Smart Plug,823.65,5,0.16,32.95
