order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
AMZ-ORD-0004001,2026-01-02,2026-01-05,First Class,CUST-00108,Priya Sharma,Consumer,India,Delhi,Delhi,400006,North,PROD-00089,Home,Kitchen,Backpack,431.13,2,0.04,68.98
AMZ-ORD-0004002,2026-01-03,2026-01-06,Same Day,CUST-00115,Rohan Patel,Consumer,India,Bengaluru,Karnataka,400007,South,PROD-00097,Fashion,Apparel,Smart Plug,442.26,3,0.08,53.07
AMZ-ORD-0004003,2026-01-04,2026-01-07,Standard Class,CUST-00122,Neha Verma,Consumer,India,Hyderabad,Telangana,400008,South,PROD-00105,Beauty,Skincare,Office Chair,453.39,4,0.12,36.27
AMZ-ORD-0004004,2026-01-05,2026-01-08,Second Class,CUST-00129,Kabir Nair,Consumer,India,Pune,Maharashtra,400009,West,PROD-00113,Office,Stationery,Bluetooth Earbuds,464.52,1,0.16,18.58
AMZ-ORD-0004005,2026-01-06,2026-01-09,First Class,CUST-00136,Anaya Rao,Consumer,India,Chennai,Tamil Nadu,400010,South,PROD-00121,Electronics,Accessories,Echo Dot Speaker,475.65,2,0.2,9.51
AMZ-ORD-0004006,2026-01-07,2026-01-10,Same Day,CUST-00143,Vihaan Das,Consumer,India,Kolkata,West Bengal,400011,East,PROD-00129,Home,Kitchen,Backpack,486.78,3,0.24,9.74
AMZ-ORD-0004007,2026-01-08,2026-01-11,Standard Class,CUST-00150,Isha Gupta,Consumer,India,Ahmedabad,Gujarat,400012,West,PROD-00137,Fashion,Apparel,Smart Plug,497.91,4,0.28,9.96
AMZ-ORD-0004008,2026-01-09,2026-01-12,Second Class,CUST-00157,Rahul Iyer,Consumer,India,Jaipur,Rajasthan,400013,North,PROD-00145,Beauty,Skincare,Office Chair,509.04,1,0,101.81
AMZ-ORD-0004009,2026-01-10,2026-01-13,First Class,CUST-00164,Meera Joshi,Consumer,India,Lucknow,Uttar Pradesh,400014,North,PROD-00153,Office,Stationery,Bluetooth Earbuds,510,2,0.04,81.6
AMZ-ORD-0004009,2026-01-10,2026-01-13,First Class,CUST-00164,Meera Joshi,Consumer,India,Lucknow,Uttar Pradesh,400014,North,PROD-00153,Office,Stationery,Bluetooth Earbuds,510,2,0.04,81.6
AMZ-ORD-0004010,2026-01-11,2026-01-14,Same Day,CUST-00171,Aarav Singh,Consumer,India,Mumbai,Maharashtra,400015,West,PROD-00161,Electronics,Accessories,Echo Dot Speaker,521.13,3,0.08,62.54
AMZ-ORD-0004011,2026-01-12,2026-01-15,Standard Class,CUST-00178,Priya Sharma,Consumer,India,Delhi,Delhi,400016,North,PROD-00169,Home,Kitchen,Backpack,532.26,4,0.12,42.58
