order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
AMZ-ORD-0005001,2026-02-10,2026-02-11,Same Day,CUST-00109,Priya Sharma,Consumer,India,Hyderabad,Telangana,400007,South,PROD-00070,Fashion,Apparel,Water Bottle,132.13,2,0.04,21.14
AMZ-ORD-0005002,2026-01-01,2026-01-02,Standard Class,CUST-00117,Rohan Patel,Consumer,India,Pune,Maharashtra,400008,West,PROD-00079,Beauty,Skincare,Bluetooth Earbuds,144.26,3,0.08,17.31
AMZ-ORD-0005003,2026-01-02,2026-01-03,Second Class,CUST-00125,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400009,South,PROD-00088,Office,Stationery,Kindle Reader,156.39,4,0.12,12.51
AMZ-ORD-0005004,2026-01-03,2026-01-04,First Class,CUST-00133,Kabir Nair,Consumer,India,Kolkata,West Bengal,400010,East,PROD-00097,Electronics,Accessories,Office Chair,168.52,5,0.16,6.74
AMZ-ORD-0005005,2026-01-04,2026-01-05,Same Day,CUST-00141,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400011,West,PROD-00106,Home,Kitchen,Desk Lamp,180.65,1,0.2,3.61
AMZ-ORD-0005006,2026-01-05,2026-01-06,Standard Class,CUST-00149,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400012,North,PROD-00115,Fashion,Apparel,Smart Plug,192.78,2,0.24,3.86
AMZ-ORD-0005007,2026-01-06,2026-01-07,Second Class,CUST-00157,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400013,North,PROD-00124,Beauty,Skincare,Monitor Stand,204.91,3,0.28,4.1
AMZ-ORD-0005008,2026-01-07,2026-01-08,First Class,CUST-00165,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400014,West,PROD-00133,Office,Stationery,Backpack,217.04,4,0.32,4.34
AMZ-ORD-0005009,2026-01-08,2026-01-09,Same Day,CUST-00173,Meera Joshi,Consumer,India,Delhi,Delhi,400015,North,PROD-00142,Electronics,Accessories,Wireless Mouse,219,5,0,43.8
AMZ-ORD-0005010,2026-01-09,2026-01-10,Standard Class,CUST-00181,Aarav Singh,Consumer,India,Bengaluru,Karnataka,400016,South,PROD-00151,Home,Kitchen,Echo Dot Speaker,231.13,1,0.04,36.98
AMZ-ORD-0005011,2026-01-10,2026-01-11,Second Class,CUST-00189,Priya Sharma,Consumer,India,Hyderabad,Telangana,400017,South,PROD-00160,Fashion,Apparel,Water Bottle,243.26,2,0.08,29.19
AMZ-ORD-0005012,2026-01-11,2026-01-12,First Class,CUST-00197,Rohan Patel,Consumer,India,Pune,Maharashtra,400018,West,PROD-00169,Beauty,Skincare,Bluetooth Earbuds,255.39,3,0.12,20.43
AMZ-ORD-0005013,2026-01-12,2026-01-13,Same Day,CUST-00205,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400019,South,PROD-00178,Office,Stationery,Kindle Reader,267.52,4,0.16,10.7
AMZ-ORD-0005013,2026-01-12,2026-01-13,Same Day,CUST-00205,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400019,South,PROD-00178,Office,Stationery,Kindle Reader,267.52,4,0.16,10.7
AMZ-ORD-0005014,2026-01-13,2026-01-14,Standard Class,CUST-00213,Kabir Nair,Consumer,India,Kolkata,West Bengal,400020,East,PROD-00187,Electronics,Accessories,Office Chair,279.65,5,0.2,5.59
AMZ-ORD-0005015,2026-01-14,2026-01-15,Second Class,CUST-00221,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400021,West,PROD-00196,Home,Kitchen,Desk Lamp,291.78,1,0.24,5.84
AMZ-ORD-0005016,2026-01-15,2026-01-16,First Class,CUST-00229,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400022,North,PROD-00205,Fashion,Apparel,Smart Plug,303.91,2,0.28,6.08
AMZ-ORD-0005017,2026-01-16,2026-01-17,Same Day,CUST-00237,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400023,North,PROD-00214,Beauty,Skincare,Monitor Stand,316.04,3,0.32,6.32
AMZ-ORD-0005018,2026-01-17,2026-01-18,Standard Class,CUST-00245,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400024,West,PROD-00223,Office,Stationery,Backpack,318,4,0,63.6
AMZ-ORD-0005019,2026-01-18,2026-01-19,Second Class,CUST-00253,Meera Joshi,Consumer,India,Delhi,Delhi,400025,North,PROD-00232,Electronics,Accessories,Wireless Mouse,330.13,5,0.04,52.82
AMZ-ORD-0005020,2026-01-19,2026-01-20,First Class,CUST-00261,Aarav Singh,Consumer,India,Bengaluru,Karnataka,400026,South,PROD-00241,Home,Kitchen,Echo Dot Speaker,342.26,1,0.08,41.07
AMZ-ORD-0005021,2026-01-20,2026-01-21,Same Day,CUST-00269,Priya Sharma,Consumer,India,Hyderabad,Telangana,400027,South,PROD-00250,Fashion,Apparel,Water Bottle,354.39,2,0.12,28.35
AMZ-ORD-0005022,2026-01-21,2026-01-22,Standard Class,CUST-00277,Rohan Patel,Consumer,India,Pune,Maharashtra,400028,West,PROD-00259,Beauty,Skincare,Bluetooth Earbuds,366.52,3,0.16,14.66
AMZ-ORD-0005023,2026-01-22,2026-01-23,Second Class,CUST-00285,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400029,South,PROD-00268,Office,Stationery,Kindle Reader,378.65,4,0.2,7.57
AMZ-ORD-0005024,2026-01-23,2026-01-24,First Class,CUST-00293,Kabir Nair,Consumer,India,Kolkata,West Bengal,400030,East,PROD-00277,Electronics,Accessories,Office Chair,390.78,5,0.24,7.82
AMZ-ORD-0005025,2026-01-24,2026-01-25,Same Day,CUST-00001,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400031,West,PROD-00286,Home,Kitchen,Desk Lamp,402.91,-3,0.28,8.06
AMZ-ORD-0005026,2026-01-25,2026-01-26,Standard Class,CUST-00009,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400032,North,PROD-00295,Fashion,Apparel,Smart Plug,415.04,2,0.32,8.3
AMZ-ORD-0005026,2026-01-25,2026-01-26,Standard Class,CUST-00009,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400032,North,PROD-00295,Fashion,Apparel,Smart Plug,415.04,2,0.32,8.3
AMZ-ORD-0005027,2026-13-77,2026-01-27,Second Class,CUST-00017,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400033,North,PROD-00304,Beauty,Skincare,Monitor Stand,417,3,0,83.4
AMZ-ORD-0005028,2026-01-27,2026-01-28,First Class,CUST-00025,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400034,West,PROD-00313,Office,Stationery,Backpack,429.13,4,0.04,68.66
AMZ-ORD-0005029,2026-01-28,2026-01-29,Same Day,CUST-00033,Meera Joshi,Consumer,India,Delhi,Delhi,400035,North,PROD-00322,Electronics,Accessories,Wireless Mouse,441.26,5,0.08,52.95
AMZ-ORD-0005030,2026-01-29,2026-01-30,Standard Class,CUST-00041,Aarav Singh,Consumer,India,Bengaluru,Karnataka,400036,South,PROD-00331,Home,Kitchen,Echo Dot Speaker,453.39,1,0.12,36.27
AMZ-ORD-0005031,2026-01-30,2026-01-31,Second Class,CUST-00049,Priya Sharma,Consumer,India,Hyderabad,Telangana,400037,South,PROD-00340,Fashion,Apparel,Water Bottle,bad_sales,2,0.16,18.62
AMZ-ORD-0005032,2026-01-31,2026-02-01,First Class,CUST-00057,Rohan Patel,Consumer,India,Pune,Maharashtra,400038,West,PROD-00349,Beauty,Skincare,Bluetooth Earbuds,477.65,3,0.2,9.55
AMZ-ORD-0005033,2026-02-01,2026-02-02,Same Day,,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400039,South,PROD-00358,Office,Stationery,Kindle Reader,489.78,4,1.45,9.8
AMZ-ORD-0005034,2026-02-02,2026-02-03,Standard Class,CUST-00073,Kabir Nair,Consumer,India,Kolkata,West Bengal,400040,East,PROD-00367,Electronics,Accessories,Office Chair,501.91,5,0.28,10.04
AMZ-ORD-0005035,2026-02-03,2026-02-04,Second Class,CUST-00081,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400041,West,PROD-00376,Home,Kitchen,Desk Lamp,514.04,1,0.32,10.28
AMZ-ORD-0005036,2026-02-04,2026-02-05,First Class,CUST-00089,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400042,North,PROD-00385,Fashion,Apparel,Smart Plug,516,2,0,103.2
,2026-02-05,2026-02-06,Same Day,CUST-00097,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400043,North,PROD-00394,Beauty,Skincare,Monitor Stand,528.13,3,0.04,84.5
