order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,source_file,processing_timestamp
AMZ-ORD-0000012,2026-01-13,2026-01-15,Second Class,CUST-00037,Rohan Patel,Consumer,India,Pune,Maharashtra,400013,West,PROD-00049,Beauty,Skincare,Bluetooth Earbuds,95.39,1,0.0,19.08,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000061,2026-01-26,2026-01-28,First Class,CUST-00184,Priya Sharma,Consumer,India,Hyderabad,Telangana,400062,South,PROD-00245,Fashion,Apparel,Smart Plug,393.91,2,0.04,63.03,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000003,2026-01-04,2026-01-06,Standard Class,CUST-00010,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400004,South,PROD-00013,Office,Stationery,Backpack,41.39,4,0.12,3.31,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000056,2026-01-21,2026-01-23,Second Class,CUST-00169,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400057,North,PROD-00225,Fashion,Apparel,Smart Plug,358.26,1,0.0,71.65,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000039,2026-01-04,2026-01-06,Standard Class,CUST-00118,Meera Joshi,Consumer,India,Delhi,Delhi,400040,North,PROD-00157,Electronics,Accessories,Office Chair,257.39,4,0.12,20.59,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000041,2026-01-06,2026-01-08,First Class,CUST-00124,Priya Sharma,Consumer,India,Hyderabad,Telangana,400042,South,PROD-00165,Fashion,Apparel,Smart Plug,271.65,2,0.04,43.46,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000069,2026-02-03,2026-02-05,First Class,CUST-00208,Meera Joshi,Consumer,India,Delhi,Delhi,400070,North,PROD-00277,Electronics,Accessories,Office Chair,440.78,2,0.04,70.52,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000014,2026-01-15,2026-01-17,Same Day,CUST-00043,Kabir Nair,Consumer,India,Kolkata,West Bengal,400015,East,PROD-00057,Electronics,Accessories,Office Chair,109.65,3,0.08,13.16,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000020,2026-01-21,2026-01-23,Second Class,CUST-00061,Aarav Singh,Consumer,India,Bengaluru,Karnataka,400021,South,PROD-00081,Home,Kitchen,Echo Dot Speaker,142.26,1,0.0,28.45,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000036,2026-01-01,2026-01-03,Second Class,CUST-00109,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400037,North,PROD-00145,Fashion,Apparel,Smart Plug,236.0,1,0.0,47.2,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000045,2026-01-10,2026-01-12,First Class,CUST-00136,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400046,West,PROD-00181,Home,Kitchen,Echo Dot Speaker,290.0,2,0.04,46.4,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000031,2026-02-01,2026-02-03,Standard Class,CUST-00094,Priya Sharma,Consumer,India,Hyderabad,Telangana,400032,South,PROD-00125,Fashion,Apparel,Smart Plug,210.52,4,0.12,16.84,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000013,2026-01-14,2026-01-16,First Class,CUST-00040,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400014,South,PROD-00053,Office,Stationery,Backpack,102.52,2,0.04,16.4,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000027,2026-01-28,2026-01-30,Standard Class,CUST-00082,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400028,North,PROD-00109,Beauty,Skincare,Bluetooth Earbuds,182.0,4,0.12,14.56,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000074,2026-01-03,2026-01-05,Same Day,CUST-00223,Kabir Nair,Consumer,India,Kolkata,West Bengal,400075,East,PROD-00297,Electronics,Accessories,Office Chair,466.26,3,0.08,55.95,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000048,2026-01-13,2026-01-15,Second Class,CUST-00145,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400049,West,PROD-00193,Office,Stationery,Backpack,311.39,1,0.0,62.28,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000079,2026-01-08,2026-01-10,Standard Class,CUST-00238,Meera Joshi,Consumer,India,Delhi,Delhi,400080,North,PROD-00317,Electronics,Accessories,Office Chair,501.91,4,0.12,40.15,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000073,2026-01-02,2026-01-04,First Class,CUST-00220,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400074,South,PROD-00293,Office,Stationery,Backpack,459.13,2,0.04,73.46,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0000059,2026-01-24,2026-01-26,Standard Class,CUST-00178,Meera Joshi,Consumer,India,Delhi,Delhi,400060,North,PROD-00237,Electronics,Accessories,Office Chair,379.65,4,0.12,30.37,amazon_orders_batch_1.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001102,2026-01-30,2026-02-02,Standard Class,CUST-00209,Rohan Patel,Consumer,India,Kolkata,West Bengal,400104,East,PROD-00051,Office,Stationery,Backpack,537.39,3,0.08,64.49,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001042,2026-01-07,2026-01-10,Standard Class,CUST-00269,Rohan Patel,Consumer,India,Kolkata,West Bengal,400044,East,PROD-00171,Office,Stationery,Backpack,120.78,3,0.08,14.49,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001083,2026-01-11,2026-01-14,Second Class,CUST-00133,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400085,West,PROD-00376,Electronics,Accessories,Monitor Stand,403.26,4,0.12,32.26,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001126,2026-01-17,2026-01-20,Standard Class,CUST-00005,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400128,West,PROD-00171,Beauty,Skincare,Office Chair,702.0,2,0.04,112.32,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001096,2026-01-24,2026-01-27,First Class,CUST-00185,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400098,West,PROD-00021,Beauty,Skincare,Office Chair,498.78,2,0.04,79.8,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001136,2026-01-27,2026-01-30,First Class,CUST-00045,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400138,West,PROD-00221,Beauty,Skincare,Office Chair,773.13,2,0.04,123.7,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001028,2026-01-30,2026-02-02,First Class,CUST-00213,Rahul Iyer,Consumer,India,Bengaluru,Karnataka,400030,South,PROD-00101,Electronics,Accessories,Bluetooth Earbuds,917.13,4,0.12,73.37,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001058,2026-01-23,2026-01-26,Standard Class,CUST-00033,Rahul Iyer,Consumer,India,Bengaluru,Karnataka,400060,South,PROD-00251,Electronics,Accessories,Bluetooth Earbuds,230.52,4,0.12,18.44,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001064,2026-01-29,2026-02-01,First Class,CUST-00057,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400066,North,PROD-00281,Home,Kitchen,Smart Plug,269.13,5,0.16,10.77,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001106,2026-02-03,2026-02-06,Standard Class,CUST-00225,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400108,West,PROD-00071,Beauty,Skincare,Office Chair,569.91,2,0.04,91.19,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001068,2026-02-02,2026-02-05,First Class,CUST-00073,Rahul Iyer,Consumer,India,Bengaluru,Karnataka,400070,South,PROD-00301,Electronics,Accessories,Bluetooth Earbuds,301.65,4,0.12,24.13,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001118,2026-01-09,2026-01-12,Standard Class,CUST-00273,Rahul Iyer,Consumer,India,Bengaluru,Karnataka,400120,South,PROD-00131,Electronics,Accessories,Bluetooth Earbuds,647.13,4,0.12,51.77,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001103,2026-01-31,2026-02-03,Second Class,CUST-00213,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400105,West,PROD-00056,Electronics,Accessories,Monitor Stand,545.52,4,0.12,43.64,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001122,2026-01-13,2026-01-16,Standard Class,CUST-00289,Rohan Patel,Consumer,India,Kolkata,West Bengal,400124,East,PROD-00151,Office,Stationery,Backpack,679.65,3,0.08,81.56,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001104,2026-02-01,2026-02-04,First Class,CUST-00217,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400106,North,PROD-00061,Home,Kitchen,Smart Plug,553.65,5,0.16,22.15,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001016,2026-01-18,2026-01-21,First Class,CUST-00165,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400018,West,PROD-00041,Beauty,Skincare,Office Chair,839.91,2,0.04,134.39,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001001,2026-01-03,2026-01-06,Same Day,CUST-00105,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400003,South,PROD-00386,Beauty,Skincare,Wireless Mouse,728.13,2,0.04,116.5,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001034,2026-02-05,2026-02-08,Standard Class,CUST-00237,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400036,North,PROD-00131,Home,Kitchen,Smart Plug,65.91,5,0.16,2.64,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001081,2026-01-09,2026-01-12,Same Day,CUST-00125,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400083,South,PROD-00366,Beauty,Skincare,Wireless Mouse,387.0,2,0.04,61.92,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001125,2026-01-16,2026-01-19,Same Day,CUST-00001,Anaya Rao,Consumer,India,Lucknow,Uttar Pradesh,400127,North,PROD-00166,Fashion,Apparel,Desk Lamp,704.04,1,0.0,140.81,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001094,2026-01-22,2026-01-25,Standard Class,CUST-00177,Kabir Nair,Consumer,India,Jaipur,Rajasthan,400096,North,PROD-00011,Home,Kitchen,Smart Plug,482.52,5,0.16,19.3,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001045,2026-01-10,2026-01-13,Same Day,CUST-00281,Anaya Rao,Consumer,India,Lucknow,Uttar Pradesh,400047,North,PROD-00186,Fashion,Apparel,Desk Lamp,135.0,1,0.0,27.0,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001017,2026-01-19,2026-01-22,Same Day,CUST-00169,Isha Gupta,Consumer,India,Delhi,Delhi,400019,North,PROD-00046,Office,Stationery,Kindle Reader,848.04,3,0.08,101.76,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001090,2026-01-18,2026-01-21,Standard Class,CUST-00161,Aarav Singh,Consumer,India,Pune,Maharashtra,400092,West,PROD-00411,Fashion,Apparel,Echo Dot Speaker,450.0,1,0.0,90.0,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001059,2026-01-24,2026-01-27,Second Class,CUST-00037,Meera Joshi,Consumer,India,Hyderabad,Telangana,400061,South,PROD-00256,Home,Kitchen,Water Bottle,238.65,5,0.16,9.55,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001020,2026-01-22,2026-01-25,First Class,CUST-00181,Aarav Singh,Consumer,India,Pune,Maharashtra,400022,West,PROD-00061,Fashion,Apparel,Echo Dot Speaker,862.26,1,0.0,172.45,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001071,2026-02-05,2026-02-08,Second Class,CUST-00085,Priya Sharma,Consumer,India,Chennai,Tamil Nadu,400073,South,PROD-00316,Beauty,Skincare,Wireless Mouse,326.04,2,0.04,52.17,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001029,2026-01-31,2026-02-03,Same Day,CUST-00217,Meera Joshi,Consumer,India,Hyderabad,Telangana,400031,South,PROD-00106,Home,Kitchen,Water Bottle,25.26,5,0.16,1.01,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001056,2026-01-21,2026-01-24,First Class,CUST-00025,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400058,West,PROD-00241,Beauty,Skincare,Office Chair,214.26,2,0.04,34.28,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001033,2026-02-04,2026-02-07,Same Day,CUST-00233,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400035,West,PROD-00126,Electronics,Accessories,Monitor Stand,57.78,4,0.12,4.62,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0001006,2026-01-08,2026-01-11,Standard Class,CUST-00125,Vihaan Das,Consumer,India,Mumbai,Maharashtra,400008,West,PROD-00411,Beauty,Skincare,Office Chair,768.78,2,0.04,123.0,amazon_orders_batch_2.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002134,2026-01-07,2026-01-08,Second Class,CUST-00171,Kabir Nair,Consumer,India,Mumbai,Maharashtra,400137,West,PROD-00205,Fashion,Apparel,Backpack,901.04,5,0.08,108.12,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002155,2026-01-28,2026-01-29,First Class,CUST-00276,Anaya Rao,Consumer,India,Delhi,Delhi,400158,North,PROD-00331,Beauty,Skincare,Echo Dot Speaker,162.26,2,0.2,3.25,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002113,2026-01-24,2026-01-25,Standard Class,CUST-00066,Neha Verma,Consumer,India,Lucknow,Uttar Pradesh,400116,North,PROD-00079,Home,Kitchen,Smart Plug,729.65,2,0.2,14.59,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002195,2026-01-30,2026-01-31,First Class,CUST-00176,Anaya Rao,Consumer,India,Delhi,Delhi,400198,North,PROD-00151,Beauty,Skincare,Echo Dot Speaker,486.78,6,0.12,38.94,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002069,2026-01-18,2026-01-19,Standard Class,CUST-00146,Meera Joshi,Consumer,India,Chennai,Tamil Nadu,400072,South,PROD-00235,Fashion,Apparel,Backpack,378.78,6,0.12,30.3,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002032,2026-01-19,2026-01-20,Same Day,CUST-00261,Rohan Patel,Consumer,India,Jaipur,Rajasthan,400035,North,PROD-00013,Electronics,Accessories,Office Chair,81.65,5,0.08,9.8,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002078,2026-01-27,2026-01-28,Second Class,CUST-00191,Rahul Iyer,Consumer,India,Pune,Maharashtra,400081,West,PROD-00289,Home,Kitchen,Smart Plug,450.78,3,0.0,90.16,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002149,2026-01-22,2026-01-23,Standard Class,CUST-00246,Meera Joshi,Consumer,India,Chennai,Tamil Nadu,400152,South,PROD-00295,Fashion,Apparel,Backpack,117.65,2,0.2,2.35,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
AMZ-ORD-0002197,2026-02-01,2026-02-02,Standard Class,CUST-00186,Isha Gupta,Consumer,India,Hyderabad,Telangana,400200,South,PROD-00163,Electronics,Accessories,Office Chair,505.04,2,0.2,10.1,amazon_orders_batch_3.csv,2026-03-14T07:04:03.606Z
